DEPTH,CNL_dec,DENS,SONI,LL9D,LL9S,MSFL,GrC,VCL,SW
10000,0.2404,2.441,94,1.988,2.211,3.683,173,0.4062,1
10000.5,0.2412,2.435,93.41,2.138,2.252,3.714,168.7,0.3545,1
10001,0.2343,2.454,94.06,2.217,2.372,3.776,166.6,0.3287,1
10001.5,0.2303,2.475,94.98,2.299,2.504,3.987,168.7,0.3545,1
10002,0.2279,2.479,95.38,2.177,2.567,4.278,168.7,0.3546,1
10002.5,0.2255,2.477,94.97,1.952,2.549,4.159,168.1,0.3472,1
10003,0.2303,2.476,93.41,1.849,2.458,3.681,163.4,0.29,1
10003.5,0.2293,2.471,88.69,1.72,2.323,3.423,161.2,0.2623,1
10004,0.2246,2.463,84.75,1.72,2.095,3.357,153.6,0.1701,1
10004.5,0.2175,2.47,83.18,1.941,1.989,3.186,144.5,0.05939,1
10005,0.201,2.487,85.74,2.576,2.174,3.186,140,0.004047,1
10005.5,0.1825,2.504,87.9,3.072,2.718,3.186,144.7,0.06138,1
10006,0.1735,2.513,92.23,2.61,2.711,4.305,155.6,0.1942,1
10006.5,0.1831,2.524,97.22,2.062,3.291,7.284,165.1,0.3105,1
10007,0.2109,2.508,98.14,1.866,2.99,6.634,168.1,0.3475,1
10007.5,0.2333,2.487,97.72,1.72,2.557,4.034,168.5,0.3521,1
10008,0.2432,2.467,97.35,1.599,2.314,2.708,168.8,0.3549,1
10008.5,0.2482,2.45,95.98,1.599,2.066,2.385,171.2,0.3845,1
10009,0.2529,2.45,92.37,1.658,1.883,2.472,169.7,0.3666,1
10009.5,0.2373,2.466,88.3,1.72,1.849,2.827,168.8,0.355,1
10010,0.2255,2.483,83.97,1.783,1.854,3.196,161.2,0.2627,1
10010.5,0.2104,2.498,85.54,2.118,2.029,3.568,157.6,0.2185,1
10011,0.1986,2.512,89.88,2.563,2.209,3.805,163.6,0.2923,1
10011.5,0.1975,2.514,96.49,2.471,2.632,4.388,170.1,0.3719,1
10012,0.1962,2.513,98.93,2.244,2.963,6.994,181,0.5046,1
10012.5,0.2316,2.499,99.33,1.988,2.963,5.921,194.5,0.6689,1
10013,0.2482,2.479,96.18,1.796,2.918,4.315,192.4,0.6431,1
10013.5,0.2515,2.458,94.21,1.783,2.515,3.4,189.7,0.6102,1
10014,0.2552,2.454,93.43,1.783,2.151,3.48,185.4,0.5582,1
10014.5,0.2467,2.47,92.64,1.783,2.138,3.819,175.7,0.4402,1
10015,0.234,2.484,92.64,1.72,2.138,3.649,166.7,0.3295,1
10015.5,0.2285,2.486,90.67,1.619,2.138,3.585,159.7,0.2446,1
10016,0.2231,2.492,87.92,1.599,2.023,3.11,158.9,0.2342,1
10016.5,0.2302,2.492,84.84,1.599,1.988,3.34,154.1,0.1763,1
10017,0.2275,2.488,80.83,1.783,1.988,3.326,147,0.08961,1
10017.5,0.2221,2.497,81.62,1.988,2.231,3.164,144,0.05273,1
10018,0.1966,2.518,84.77,2.471,2.65,5.006,147.7,0.09767,1
10018.5,0.1758,2.537,89.49,3.072,3.037,7.169,152.2,0.1524,1
10019,0.1758,2.538,92.05,2.71,3.547,4.014,160.6,0.2558,1
10019.5,0.1969,2.521,93.43,2.383,3.224,5.488,168.2,0.3482,1
10020,0.2056,2.504,92.25,2.062,2.72,3.678,168.8,0.3556,1
10020.5,0.2278,2.486,89.1,1.952,2.379,3.201,167.3,0.3368,1
10021,0.235,2.469,89.89,1.783,2.21,3.676,165.8,0.3187,1
10021.5,0.2325,2.465,91.47,2.062,2.16,3.542,163.7,0.2929,1
10022,0.23,2.464,96.58,2.299,2.454,4.005,164.3,0.3003,1
10022.5,0.2292,2.484,93.44,2.299,2.678,6.086,170.3,0.3742,1
10023,0.2357,2.504,87.14,2.299,2.7,4.502,171.8,0.3926,1
10023.5,0.241,2.487,87.53,1.988,2.494,3.851,165.2,0.3115,1
10024,0.2623,2.468,88.71,2.427,2.605,3.984,163.2,0.2874,1
10024.5,0.2537,2.486,94.42,2.563,2.888,6.189,161.3,0.2635,1
10025,0.2585,2.505,99.35,2.755,3.07,7.511,174.1,0.4204,1
10025.5,0.2608,2.505,1.315,2.299,3.221,5.787,185.5,0.5589,1
10026,0.2457,2.484,99.87,2.062,2.92,5.115,186.1,0.5663,1
10026.5,0.2325,2.463,98.56,1.849,2.441,4.628,187.1,0.5788,1
10027,0.2622,2.452,97.18,1.783,2.144,3.883,187.9,0.5885,1
10027.5,0.2679,2.451,95.02,1.658,2.015,3.769,181,0.5036,1
10028,0.2641,2.45,95.61,1.658,1.986,3.846,177.9,0.4667,1
10028.5,0.2575,2.453,96.99,1.751,2.007,3.563,177.2,0.4582,1
